Publisher,Journal title,Article title,Cost
Elsevier,International Health,Treatment of schistosomiasis in African infants and preschool-aged children: downward extension and biometric optimisation of the current praziquantel dose pole,"£1 413,88"
Oxford University Press,International Immunology,The Dectin-2 family of C-type lectin-like receptors: and update,"£2 040,00"
OUP,International Joural of Epidemiology,Estimating the coverage of mental health programmes: a systematic review,"£2 400,00"
BioMed Central,International Journal for Equity in Health,Socio-economic position and childhood multimorbidity: a study using linkage between the Avon Longitudinal Study of Parents and Children and the General Practice Research Database,"£1 398,00"
Elsevier,International Journal for Parasitology,Functional expression of TcoAT1 reveals it to be a P1-type nucleoside transporter with no capacity for diminazene uptake,"£1 410,00"
Elsevier,International journal of applied earth observation and geoinformation,"Mapping the distribution of the main host for plague in a complex landscape in Kazakhstan: An object-based approach using SPOT-5 XS, Landsat 7 ETM+, SRTM and multiple Random Forests","£2 330,12"
BioMed Central,International Journal of Behavioral Nutrition and Physical Activity,Do predictors of change differ for moderate and vigorous intensity physical activity and for weekdays and weekends? A longitudinal analysis,"£719,97"
Biomed Central,International Journal of Behavioural Nutrition and Physical Activity,Developing and testing a street audit tool using Google Street View to measure environmental supportiveness for physical activity,"£1 315,80"
Elsevier,International Journal of Biochemistry & Cell Biology,"Lipidomic profiling in Crohn's disease: Abnormalities in phosphatidylinositols, with preservation of ceramide, phosphatidylcholine and phosphatidylserine composition","£2 384,53"
Elsevier,International Journal of Cardiology,"Mortality from Ischaemic Heart Disease by Country, Region, and Age: Statistics from World Health Organisation and United Nations data","£1 128,42"
Elsevier,International Journal of Cardiology,Defining cardiac adaptations and safety of endurance training in patients with m.3243A>G-related mitochondrial disease,"£2 384,22"
Elsevier,International Journal of Cardiology,Cardioprotective SUR2A promotes stem cell properties of cardiomyocytes,"£2 406,73"
University of the Basque Country Press,International Journal of Developmental Biology,The Dictyostelium prestalk inducer DIF-1 directs phosphorylation of a bZIP transcription factor.,"£1 306,11"
OUP,International Journal of Epidemiology,Time series regression studies in environmental epidemiology.,"£2 040,00"
OUP,International Journal of Epidemiology,Cohort profile: Andhra Pradesh children and parents study.,"£2 400,00"
Oxford University Press,International Journal of Epidemiology,Data Resource Profile: Cardiovascular disease research using Linked Bespoke studies and Electronic health Records (CALIBER),"£2 040,00"
Oxford University Press,International Journal of Epidemiology,Cohort Profile: - A prospective cohort study of objective physical and cognitive capability and visual health in an ageing population of men and women in Norfolk (EPIC-Norfolk 3),"£2 400,00"
Oxford University Press,International Journal of Epidemiology,Use of allele scores as instrumental variables for Mendelian randomization,"£2 400,00"
Wiley-Blackwell,International Journal of Experimental Pathology,Fatigue loading of tendon,"£2 320,03"
Sciedu Press,"International Journal of Financial Research
","Determinants of Enrolment in Voluntary Health Insurance: Evidences from a Mixed Method Study, Kerala, India","£187,03"
Wiley,International Journal of Geriatric Psychiatry,Strain and its correlates among carers of people with dementia in low and middle income countries. A 10/66 Dementia Research population-based survey,"£2 302,93"
BioMed Central,International Journal of Health Geographics,Comparing the accuracy of two secondary food environment data sources in the UK across socio-economic and urban/rural divides,"£867,38"
Cambridge University Press,International Journal of Law in Context,"Capacity, value neutrality and the ability to consider the future","£1 020,00"
MDPI,International journal of molecular sciences,Absolute Quantification of selected proteins in the Human Osteoarthritic Secretome,"£1 384,34"
Nature Publishing Group,International Journal of Obesity,Catch-up growth following intra-uterine growth restriction programmes an insulin-resistant phenotype in adipose tissue,"£3 000,00"
Elsevier,International Journal of Parasitology,Proteome analysis of the Theileria annulata schizont,"£2 386,44"
Hindawi,International Journal of Rheumatology,Quantitative sensory testing in painful hand osteorthritis demonstrates features of peripheral sensitisation,"£626,00"
Wiley,International Journal of Stroke,Length of carotid stenosis predicts peri-procedural stroke or death and restenosis in patients randomized to endovascular treatment or endarterectomy,"£1 500,00"
International Union Against tuberculosis and Lung Disease,International Journal of Tuberculosis  and Lung Disease,Prevalence and risk factors for self-reported asthma in an adult Indian population: a cross-sectional survey,"£2 440,41"
Cambridge Journals,International Psychogeriatrics,Covariant perfusion patterns provide clues to the origin of cognitive fluctuations and attentional dysfunctional in dementia with Lewy bodies,"£2 034,00"
Copyright Clearace Center,International Reviews of Immunology,C-type lectin-like receptors of the Dectin-1 cluster: ligands and signalling pathways,"£2 775,23"
Oxford Journals,Inyernational Journal of Epidemiology,Inequalities in the uptake of human papillomavirus vaccination: a systematic review and meta-analysis,"£2 040,00"
American Society for Biochemistry and Molecular Biology,J Biol Chem.,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,"£1 487,46"
American Society for Biochemistry and Molecular Biology,J Biol Chem.,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.,"£1 531,08"
ASBMB,J Biol Chem.,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,"£1 290,23"
ASBMB,J Biol Chem.,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family. ,"£1 508,97"
ASBMB,J Biol Chem.,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.,"£1 521,32"
ASBMB,J Biol Chemistry,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases,"£1 334,16"
Research Media Ltd,J Cardiovasc Magn Reson,Assessment of in vivo metabolism in failing hearts using hyperpolarised 13C magnetic resonance,"£2 350,00"
Company of Biologists,J Cell Sci.,A dual role for the βPS integrin myospheroid in mediating Drosophila embryonic macrophage migration.,"£2 400,00"
Cadmus Journal Services,J Clin Microbiol,Resolution of a meningococcal disease outbreak from whole-genome sequence data with rapid web-based analysis methods,"£1 250,66"
Dartmouth Journal Services ,J Immunol,Chronic Exposure to Plasmodium falciparum Is Associated with Phenotypic Evidence of B and T Cell Exhaustion,"£1 926,45"
Dartmouth Journal Services,J Immunol ,Mitochondrial superoxide generation enhances P2X7R-mediated loss of cell surface CD62L on naive human CD4+ T lymphocytes.,"£772,13"
Oxford University Press ,J Infect Dis,Genetic Relatedness of Infecting and Reinfecting Respiratory Syncytial Virus Strains Identified in a Birth Cohort From Rural Kenya,"£378,78"
ACS,J Med Chem,"Fumaroylamino-4,5-epoxymorphinans and related opioids with irreversible μ opioid receptor antagonist effects.","£642,56"
ACS,J Med Chem,Orvinols with mixed kappa/mu opioid receptor agonist activity.,"£669,64"
The American Chemical Society Petroleum Research Trust,J Med Chem.,Novel inverse binding mode of indirubin derivatives yields improved selectivity for DYRK kinases,"£625,60"
The American Chemical Society Petroleum Research Trust,J Med Chem.,Crystal Structure of Human Aurora B in Complex with INCENP and VX-680,"£1 272,99"
The American Chemical Society Petroleum Research Trust,J Med Chem.,Identification of a chemical probe for bromo and extra C-terminal bromodomain inhibition through optimization of a fragment-derived hit.,"£1 280,73"
The American Chemical Society Petroleum Research Trust,J Med Chem.,"7,8-dichloro-1-oxo-β-carbolines as a versatile scaffold for the development of potent and selective kinase inhibitors with unusual binding modes.","£1 535,56"
J Med Internet Research,J Med Internet Research,How should debriefing be undertaken in web-based studies? Findings from randomised controlled trial.,"£1 303,21"
Elsevier,J Mol Biol,Structural Basis for ASPP2 Recognition by the Tumor Suppressor p73.,"£2 264,20"
ACS,J Org Chem,Regioselective opening of myo-inositol orthoesters: mechanism and synthetic utility.,"£685,88"
ELSEVIER,J Steroid Biochem Mol Biol,The structural biology of oestrogen metabolism.,"£2 322,57"
International Union of Crystallography,J Synchrotron Radiat.,Assessment of radiation damage behaviour in a large collection of empirically optimized datasets highlights the importance of unmeasured complicating effects.,"£746,90"
Wolters Kluwer,JAIDS Journal of Acquired Immune Deficiency Syndromes,Accelerated biological ageing in HIV-infected individuals in South Africa: a case-control study,"£1 375,80"
MDPI,JERPH,Tobacco use and nicotine dependence among conflict-affected men in Georgia.,"£952,45"
ASBMB Cadmus,Jnl Biological Chemistry,Biochemical and immunological characterisation of Toxoplasma gondii macrophage migration inhibitory factor,"£381,04"
Cadmus,Jnl Biological Chemistry,Distinct roles in autophagy and importance in infectivity of the two ATG4 cysteine peptidases of Leishmania major,"£1 035,00"
"The American Society for Biochemistry and Molecular Biology, Inc",Jnl Biological Chemistry,Photoaffinity labelling of high affinity nicotinic acid adenine dinucleotide 2'-phosphate (NAADP) proteins in sea urchin egg,"£1 255,58"
Cambridge University Press,Jnl of the International Neuropsychological Society,Effects of Maternal Worm Infections and Anthelminthic Treatment during Pregnancy on Infant Motor and Neurocognitive Functioning,"£2 034,00"
American Society of Microbiology,Jounral of Clinical Microbiology,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,"£1 364,47"
ASBMB/Cadmus,Journal Biological Chemistry,Defining the requirements for collagenase cleavage in collagen type III using a bacterial collagen system.,"£938,75"
The Endrocrine Society,Journal od Clinical Endocrinology,Corticotropin releasing hormone interacts with Interleukin;-1 to Regulate Prostaglandin H Synthase- 2 Expression in Human Myometrium During Pregnancy and Labor,"£3 602,41"
American Psychological Association,Journal of Abnormal Psychology,Lightening the Load: Perceptual Load Impairs Visual Detection in Typical Adults but not in Autism,"£2 534,53"
